abandon	vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵 n. 放任, 无拘束, 狂热
abase	vt. 降低...的地位, 降低...的品格, 贬抑, 使谦卑
abash	vt. 使不安, 使羞愧, 使困窘
abate	vt. 减少, 减轻, 减弱, 废除, 打折扣 vi. 减轻, 减弱, 减少, 失效, 被废除
abbreviate	vt. 缩写, 使...简略, 缩短 vi. 使用缩写词
abdicate	vt. 正式放弃 vi. 退位, 退出, 辞职
abduct	vt. 诱拐, 绑架, 使外展 [医] 外展, 展
aberrant	a. 偏离正路的, 偏离常轨的, 畸变的 [化] 异常的
aberration	n. 离开正路, 偏离, 畸变, 光行差, 心理失常, 色差 [化] 光行差; 像差
abet	vt. 教唆, 煽动, 怂恿, 帮助, 支持
abeyance	n. 中止, 暂搁, 停止, 归属待定 [化] 潜态
abhor	vt. 憎恶, 痛恨, 回避, 拒绝
abhorrent	a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的
abide	vi. 停留, 遵守, 居留, 继续下去 vt. 忍受, 经受, 屈从于
abject	a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的 [法] 卑鄙的, 卑下的, 可怜的
abjure	vt. 发誓断绝, 公开放弃 [法] 誓绝, 弃绝, 公开放弃
ablution	n. 洗澡, 洗礼, 斋戒沐浴 [化] 洗净; 洗净液
abnegate	vt. 放弃, 舍弃, 克制(欲望)
abnegation	n. 放弃, 舍弃, 克制
abolish	vt. 废止, 革除, 消灭 [经] 废除, 取消, 裁撤
abolition	n. 废除, 废奴运动 [医] 禁止, 消失
abominate	vt. 厌恶, 憎恶
aboriginal	a. 原始的, 土著的 n. 土著居民, 土生生物
abortive	a. 流产的, 堕胎的, 失败的 [医] 流产的; 顿挫的
abound	vi. 大量存在, 富于, 充满
aboveboard	adv. 光明正大地, 率直地 a. 光明正大的, 率直的
abrade	vt. 擦伤, 磨损, 磨 [医] 擦除, 擦破; 磨损, 磨除
abrasion	n. 磨擦, 磨损, 磨损处 [化] 磨耗; 磨蚀
abrasive	n. 研磨料 a. 有研磨作用的
abreast	adv. 并肩地, 并列地
abridge	vt. 缩短, 删节, 减少, 剥夺 [法] 剥夺; 节略
abrogate	vt. 废除, 取消 [经] 取消, 废除, 不生效(的法令)
abrupt	a. 突然的, 唐突的, 陡峭的, 不连贯的
abscission	n. 切断, 除去 [医] 切除
abscond	vi. 潜逃, 逃匿 [经] (为躲避罪责,债务等)潜逃
absenteeism	n. 经常无故缺席, 旷职, 旷工, 旷课 [经] 有计划的怠工, 旷工
absolute	a. 绝对的, 专制的, 完全的, 独立的 n. 绝对事物
absolve	vt. 宣告...无罪, 赦免, 免除 [经] 免偿(债务), 解除
absorb	vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担 [医] 吸收
abstain	vi. 自制, 戒绝, 弃权, 回避
abstemious	a. 有节制的, 节约的
abstention	n. 戒绝, 回避, 弃权
abstentious	a. 有节制的
abstinent	a. 有节制的, 禁欲的 n. 禁欲者
abstract	a. 抽象的, 深奥的 n. 摘要, 抽象概念 vt. 摘要, 提炼, 使抽象化 [计] 摘录; 摘要; 抽象
abstruse	a. 难解的, 深奥的
absurd	a. 荒谬的, 不合理的, 可笑的 n. 荒诞
abundance	n. 丰富, 充足, 大量 [经] 丰富, 充裕
abundant	a. 丰富的, 充分的, 大量的
abuse	n. 滥用, 虐待, 恶习, 辱骂 vt. 滥用, 辱骂, 虐待
