abbreviation	n. 缩写词, 缩写, 缩短, 节略
ability	n. 能力, 才干 [经] 能力, 才能
abnormal	a. 反常的, 不规则的, 变态的, 畸形的 n. 畸形的人
abolish	vt. 废止, 革除, 消灭 [经] 废除, 取消, 裁撤
aboriginal	a. 原始的, 土著的 n. 土著居民, 土生生物
abort	vi. 流产, 中途失败 vt. 使流产, 使失败, 使中止
abortion	n. 流产, 堕胎, 失败, 夭折, 中止 [医] 流产, 小产; 顿挫
abound	vi. 大量存在, 富于, 充满
abrasion	n. 磨擦, 磨损, 磨损处 [化] 磨耗; 磨蚀
abridge	vt. 缩短, 删节, 减少, 剥夺 [法] 剥夺; 节略
abrupt	a. 突然的, 唐突的, 陡峭的, 不连贯的
absorb	vt. 吸收, 使全神贯注, 同化, 买进, 理解, 承受, 忍受, 承担 [医] 吸收
abstract	a. 抽象的, 深奥的 n. 摘要, 抽象概念 vt. 摘要, 提炼, 使抽象化 [计] 摘录; 摘要; 抽象
absurd	a. 荒谬的, 不合理的, 可笑的 n. 荒诞
abundance	n. 丰富, 充足, 大量 [经] 丰富, 充裕
abuse	n. 滥用, 虐待, 恶习, 辱骂 vt. 滥用, 辱骂, 虐待
academic	a. 学院的, 学术的, 不切实际的 n. 大学生, 大学教师, 学者, 学会会员
accelerate	v. 加速, 促进
access	n. 通路, 入口, 接近, 进入, 使用权, 发作 vt. 访问, 存取, 接近, 使用 [计] 访问, 存取
accessible	a. 易接近的, 可进入的, 可使用的, 易受影响的, 可理解的
accessory	n. 附件, 零件, 附加物, 从犯, 同谋 a. 附属的, 补充的, 同谋的, 帮凶的, 非主要的, 副的 [计] 附件
accidents	n. 意外事故；事故（accident的复数）
acclaim	n. 喝彩, 欢呼, 赞同 v. 欢呼, 喝彩, 称赞
accommodate	vt. 使适应, 调和, 通融, 容纳, 向...提供 vi. 适应
accommodation	n. 膳宿, 预订铺位, 适应性调节, 调和, 贷款 [医] 调节(眼); 适应
accommodations	n. 膳宿；住房, 住宿；居住设施（accommodation的复数）
accompany	vt. 陪伴, 伴随, 补充, 为...伴奏 vi. 伴奏, 伴唱
accomplish	vt. 完成, 达到, 实现, 使完美
accord	n. 一致, 调和, 协定 vt. 给与, 使一致 vi. 相符合
account	n. 报告, 解释, 估价, 理由, 利润, 算账, 帐目 vi. 报帐, 解释, 导致, 报偿, 占, 杀死 vt. 认为 [计] 帐户, 帐号
account for	对…负有责任；对…做出解释；说明……的原因；导致；（比例）占
accountant	n. 会计人员, 会计师 [经] 会计师, 会计人员
accountants	会计人员
accounting	n. 会计学, 帐单, 清帐 [计] 帐户处理, 记帐
accumulate	v. 积聚, 堆积
accuracy	n. 精确, 正确 [计] 准确度
accurate	a. 正确的, 精确的 [经] 准确的, 精确的
accuse	vt. 指责, 控告, 归咎于 vi. 指责, 控告
accuser	n. 控诉者, 指责者 [法] 原告, 指控人, 控告者
achieve	vt. 完成, 达到 vi. 如愿以偿
achievement	n. 完成, 成就, 功业
acid	n. 酸, 酸类物质, 尖刻, 迷幻药 a. 酸的, 酸性的, 尖刻的, 敏锐的 [计] 自动文档互参与索引生成程序
