abandon	vt. 放弃, 抛弃, 遗弃, 使屈从, 沉溺, 放纵 n. 放任, 无拘束, 狂热
abandoned	a. 被抛弃的, 无约束的, 恣意放荡的
abandonment	n. 放弃, 抛弃, 放纵 [经] 委付, 废弃, 放弃(采矿权)
abashed	a. 不安的, 窘迫的
abate	vt. 减少, 减轻, 减弱, 废除, 打折扣 vi. 减轻, 减弱, 减少, 失效, 被废除
abbreviate	vt. 缩写, 使...简略, 缩短 vi. 使用缩写词
abbreviation	n. 缩写词, 缩写, 缩短, 节略
abdicate	vt. 正式放弃 vi. 退位, 退出, 辞职
abduct	vt. 诱拐, 绑架, 使外展 [医] 外展, 展
abhor	vt. 憎恶, 痛恨, 回避, 拒绝
abhorrent	a. 令人憎恨的, 可恶的, 厌恶的, 相抵触的, 不一致的
abide	vi. 停留, 遵守, 居留, 继续下去 vt. 忍受, 经受, 屈从于
abiding	a. 永久的, 持久的, 不变的
ability	n. 能力, 才干 [经] 能力, 才能
abject	a. 绝望无助的, 可怜的, 糟透的, 卑鄙的, 自卑的 [法] 卑鄙的, 卑下的, 可怜的
ablaze	a. 着火的, 闪亮的, 激昂的 adv. 着火, 闪耀
ablution	n. 洗澡, 洗礼, 斋戒沐浴 [化] 洗净; 洗净液
abnormal	a. 反常的, 不规则的, 变态的, 畸形的 n. 畸形的人
aboard	adv. 在船上, 在火车上, 在飞机上 prep. 在...之上
abolish	vt. 废止, 革除, 消灭 [经] 废除, 取消, 裁撤
abolition	n. 废除, 废奴运动 [医] 禁止, 消失
abolitionist	n. 废除主义者, 废奴主义者
abort	vi. 流产, 中途失败 vt. 使流产, 使失败, 使中止
abortive	a. 流产的, 堕胎的, 失败的 [医] 流产的; 顿挫的
abound	vi. 大量存在, 富于, 充满
abrasion	n. 磨擦, 磨损, 磨损处 [化] 磨耗; 磨蚀
abrasive	n. 研磨料 a. 有研磨作用的
abridge	vt. 缩短, 删节, 减少, 剥夺 [法] 剥夺; 节略
abroad	adv. 往国外, 到室外, 到处 a. 往国外的, 在室外的, 广泛四散的
abrupt	a. 突然的, 唐突的, 陡峭的, 不连贯的
absence	n. 缺席, 缺乏, 没有 [医] 失神
absent	a. 缺席的, 不在的, 缺乏的, 漫不经心的 vt. 使缺席
absentee	n. 缺席者, 不在者 [经] 缺勤者, 缺席者, 未到工者
absenteeism	n. 经常无故缺席, 旷职, 旷工, 旷课 [经] 有计划的怠工, 旷工
absolute	a. 绝对的, 专制的, 完全的, 独立的 n. 绝对事物
absolutely	adv. 完全地, 绝对地, 确确实实地
